cx	cy	x	y	score	nptumor	nphit	tumor	name	status	top
1078.9268201719037	-37.1050260386424	1111.2007573084297	5.58663553646602	0.996	264	41	SKCM	PAZOPANIB	Approved in cancer	KIT | KRAS | VHL
214.1265942980783	-59.8491244652245	199.60929096136715	-13.633258668021	0.0008	264	31	SKCM	AT7867	Experimental	KRAS | PTPN11 | AKT3
697.424668901974	-2.03071987269328	678.2440189643753	-4.72835311509243	0.544	934	245	BRCA	APITOLISIB	Clinical trials in cancer	KRAS | STK11 | AKT1
213.82427179355687	-22.61899104541	197.8200562233146	23.9820858137487	0.0006	423	66	COAD	OBLIMERSON	Experimental	TP53 | MTOR | BRAF
723.0019786813432	-70.5441778160958	724.5113405346947	-3.04787240867745	0.594	264	34	SKCM	ORANTINIB	Clinical trials in cancer	VHL | ARNT | HSPG2
535.2560016350461	-39.3103750592035	542.99967118567	-0.000187785878438262	0.381	222	58	LGG	EDARAVONE	Approved in other pathologies	TP53 | BRAF | MTOR
1069.5847960643548	46.5381775925475	1078.5415565581052	18.9137565166055	0.984	169	46	READ	ARSENIC TRIOXIDE	Approved in cancer	KRAS | SMAD4 | NRAS
1107.8850093768629	31.4460957280685	1080.5544558623174	1.8072359075818	0.98	389	41	LUSC	TRAMETINIB	Approved in cancer	KRAS | FGFR2 | BRAF
593.5074285166012	21.9034713437027	590.3812543322897	-5.39942762867577	0.421	512	80	UCEC	937174-76-0	Clinical trials in cancer	PIK3CA | PRKACA
656.1856398749866	-40.673609330318	665.3295349318493	-2.22999789815231	0.517	543	67	LUAD	NVP-BGJ398	Clinical trials in cancer	KRAS | PIK3CA | KDR
163.98293450705359	-46.7792243709368	224.7149312733726	8.58496385148874	0.022	343	45	HNSC	TG100-115	Clinical trials	PIK3CA
240.2786103612259	22.1449765132991	228.28756743358608	-30.0880067367557	0.0006	512	96	UCEC	CHEMBL205098	Experimental	PTEN | KDR | PRKACA
1005.0645449288836	59.2141304054596	1042.463602112376	0.00375284479571292	0.933	222	64	LGG	BORTEZOMIB	Approved in cancer	TP53 | KRAS | BRAF
710.1991719373201	146.630445728125	685.9244492677753	-11.8198239748444	0.54	222	143	LGG	SELUMETINIB	Clinical trials in cancer	NF1 | KRAS | NRAS
712.2919596481902	2.26000275181684	772.4360780445794	-7.92302636889917	0.595	512	165	UCEC	PX-866	Clinical trials in cancer	KRAS | NRAS | ZAP70
594.324951065274	-39.9084892369109	584.1006913564472	0.520515980842788	0.422	202	23	LAML	FAMITINIB	Clinical trials in cancer	FLT3 | KIT | KDR
921.0985570785169	8.04438010445637	949.835231418242	7.82194279002351	0.823	934	216	BRCA	CARBOPLATIN	Approved in cancer	KRAS | PIK3CA | PDGFRA
172.02242829025266	-14.5004193649312	192.4395261184929	0.585161731043172	0.0006	264	35	SKCM	TRIAZOLOPYRIDINE	Experimental	CYBB | AKT3 | GNAS
788.611474550647	-9.02852613480079	710.780899196192	17.4807087645077	0.593	512	116	UCEC	CC-223	Clinical trials in cancer	KRAS | TSC2 | TSC1
548.6088130893261	-13.6309781598864	596.7139523149826	-1.68312733789003	0.432	512	108	UCEC	CUDC-907	Clinical trials in cancer	KRAS | PIK3CA | ERBB2
234.14790041015647	73.1786137893679	218.17336982541906	5.90430224754289	0.0006	169	39	READ	5-CYANO-N-(2,5-DIMETHOXYBENZYL)-6-ETHOXYPYRIDINE-2-CARBOXAMIDE	Experimental	KRAS | MAP4K1 | RRAS2
221.05679566690216	7.19750405242695	194.0645407752737	3.85632556981091	0.0004	934	216	BRCA	PKI-402	Experimental	KRAS | PIK3CA
393.6305192571651	-5.75473375337455	391.00007995237075	-0.00030391603922908	0.212	543	62	LUAD	CAPSAICIN	Approved in other pathologies	KRAS | ABCB1
138.52854590768956	21.2553494328632	202.96562139835362	1.61109708580739	0.012	934	216	BRCA	TG100-115	Clinical trials	PIK3CA
514.6068612194174	-48.9417932822459	515.9985469166346	-0.00272814844538516	0.351	264	37	SKCM	SEMAXANIB	Approved in other pathologies	KIT | VHL | CTNNB1
643.2292052344898	51.1475344428401	628.9302196605797	31.9424509980996	0.453	57	24	PAAD	GDC-0068	Clinical trials in cancer	KRAS
699.2780454817394	73.0398733912451	734.8825385535567	2.02320039392634	0.593	343	60	HNSC	XL147	Clinical trials in cancer	PTEN | RAC1 | CD247
385.64406607401594	4.54180739455811	374.04435748205447	0.0241961130413415	0.193	169	47	READ	QUERCETIN	Clinical trials	KRAS | PTPN11 | NRAS
581.191311429451	39.8864655313361	575.4358056112968	-3.44802544964728	0.422	435	185	THCA	952021-60-2	Clinical trials in cancer	KRAS | BRAF
934.9513814540047	65.4219597491334	971.4453831682703	3.9026761842635	0.84	57	24	PAAD	TRAMETINIB	Approved in cancer	KRAS
1000.565350484153	73.2187987558207	1056.1503638763766	-2.30120488650797	0.93	57	25	PAAD	PALBOCICLIB	Approved in cancer	KRAS | SMAD4
718.7839965615319	-129.488843995469	731.759457332764	74.0873419115246	0.597	264	197	SKCM	PKI-587	Clinical trials in cancer	NRAS | KIT | KRAS
806.552334396929	11.6354605940398	756.5587918452684	-31.283433250514	0.586	264	124	SKCM	XL765	Clinical trials in cancer	NRAS | KIT | KRAS
314.9545076221778	27.677479400546	231.81205496067358	-33.7778315492612	0.0004	435	183	THCA	878739-06-1	Experimental	BRAF
540.7339027593683	11.6384899814912	566.3028949490642	7.22219281064645	0.412	934	216	BRCA	GSK1059615	Clinical trials in cancer	PIK3CA
72.5599532082998	-11.4121669831344	200.3778039464232	10.4775414045462	0.0004	934	218	BRCA	154447-36-6	Experimental	KRAS | PIK3CA | MTOR
709.3134435049667	-55.4949574718173	727.1321199367424	-3.39216472181715	0.597	153	23	BLCA	PKI-587	Clinical trials in cancer	NRAS | PTEN | PIK3CA
962.4417644646345	-17.6050294293049	962.1857457139193	-1.7292300479769	0.843	543	76	LUAD	PEMETREXED	Approved in cancer	KRAS | EGFR | PIK3CA
1106.8686871461518	-61.3745938990381	1086.6282498549033	-13.5385673469036	0.99	423	91	COAD	DASATINIB	Approved in cancer	KRAS | SMAD4 | ESR1
782.1331703359041	-23.6399582762594	769.9992347449753	-0.000303994237810912	0.633	543	77	LUAD	5-FLUOROURACIL	Approved in other pathologies and in clinical trials in cancer	KRAS | NRAS | BRAF
553.6157496983445	-27.8814427551711	557.8305413892093	-3.56881057081	0.381	264	41	SKCM	APREMILAST	Approved in other pathologies	RB1 | VHL | AKT3
594.8842651644421	99.2571237526068	626.4133088137162	2.92544406830098	0.513	435	211	THCA	1032350-13-2	Clinical trials in cancer	KRAS | NRAS | BRAF
513.7295435791051	-41.8428873620124	540.920517345841	3.102087167842	0.381	423	92	COAD	ISOPRENALINE	Approved in other pathologies	KRAS | NRAS | BRAF
1147.3845593888955	10.520256042916	1081.8332144017688	-17.5065506474732	1.0	512	126	UCEC	DABRAFENIB	Approved in cancer	KRAS | NF1 | NRAS
719.7338995188921	-36.4553527186885	754.8355782890073	11.4917464299278	0.598	423	67	COAD	OSI-027	Clinical trials in cancer	KRAS | MTOR | PIK3CA
1120.8854285183613	-35.5726360916486	1101.1345526494144	4.337491441579	1.0	292	43	STAD	SORAFENIB	Approved in cancer	KRAS | NF1 | PTPN11
196.23974715267153	72.4769916433727	219.72522562296052	-6.7234681026905	0.0006	502	62	KIRC	7-NITROINDAZOLE	Experimental	VHL | AKT3 | MTOR
522.9198520385088	-40.6782659451149	583.3506221175286	5.30044536585865	0.422	423	57	COAD	GDC-0994	Clinical trials in cancer	KRAS | MAPK1
766.4325461094073	79.500844194066	734.2954537535041	-31.2117009716517	0.597	169	48	READ	PKI-587	Clinical trials in cancer	KRAS | PTPN11 | NRAS
182.2819358840878	48.695565172455	218.2721895092072	-17.7264298227101	0.0004	512	110	UCEC	AT13148	Experimental	KRAS | PIK3CA | ERBB2
585.1161474942874	69.2324062666639	704.6235396273238	-7.70650501765999	0.524	435	183	THCA	ZSTK474	Clinical trials in cancer	BRAF | SOS1 | PIK3CA
1099.402534872491	4.85809366930272	1089.9699461337564	-3.70811089084737	0.982	292	36	STAD	TRAMETINIB	Approved in cancer	KRAS | NF1 | CTNNB1
556.9983338437648	-41.6428639082563	575.9178914794951	9.81689182634773	0.423	343	48	HNSC	RIGOSERTIB	Clinical trials in cancer	PIK3CA | HRAS
1104.4515369432695	5.96134695296442	1096.2476027744892	2.83079049582022	0.996	389	53	LUSC	DASATINIB	Approved in cancer	KRAS | PTEN | BRAF
236.69714175538738	-20.0164819035371	196.6210599866707	-17.8371969097179	0.0006	502	61	KIRC	BROLUCIZUMAB	Experimental	VHL | MTOR | HSPG2
